Source	Source primary accession	Source secondary accession	Target	Target primary accession	Target secondary accession
snOPYdb	Arabidopsis_thaliana300084	SnoR58Y-1	sequence	LN809351	
snOPYdb	Arabidopsis_thaliana300085	SnoR59b	sequence	LN809354	
snOPYdb	Arabidopsis_thaliana300086	SnoR59a	sequence	LN809353	
snOPYdb	Arabidopsis_thaliana300087	SnoR6-1	sequence	LN809357	
snOPYdb	Arabidopsis_thaliana300088	SnoR6-2	sequence	LN809358	
snOPYdb	Arabidopsis_thaliana300089	SnoR6-3	sequence	LN809359	
snOPYdb	Arabidopsis_thaliana300090	SnoR64	sequence	LN809360	
snOPYdb	Arabidopsis_thaliana300091	SnoR65	sequence	LN809361	
snOPYdb	Arabidopsis_thaliana300092	SnoR66	sequence	LN809362	
snOPYdb	Arabidopsis_thaliana300093	SnoR67	sequence	LN809363	
snOPYdb	Arabidopsis_thaliana300094	SnoR68	sequence	LN809364	
snOPYdb	Arabidopsis_thaliana300095	SnoR68Y	sequence	LN809365	
snOPYdb	Arabidopsis_thaliana300096	SnoR69Y	sequence	LN809366	
snOPYdb	Arabidopsis_thaliana300097	SnoR7-1	sequence	LN809367	
snOPYdb	Arabidopsis_thaliana300098	SnoR7-2	sequence	LN809368	
snOPYdb	Arabidopsis_thaliana300099	SnoR72	sequence	LN809369	
snOPYdb	Arabidopsis_thaliana300100	SnoR72Ya	sequence	LN809372	
snOPYdb	Arabidopsis_thaliana300101	SnoR72Yd	sequence	LN809375	
snOPYdb	Arabidopsis_thaliana300102	SnoR72Yb	sequence	LN809373	
snOPYdb	Arabidopsis_thaliana300103	SnoR72Yc	sequence	LN809374	
snOPYdb	Arabidopsis_thaliana300104	SnoR73	sequence	LN809376	
snOPYdb	Arabidopsis_thaliana300105	SnoR74-2	sequence	LN809378	
snOPYdb	Arabidopsis_thaliana300106	SnoR74-1	sequence	LN809377	
snOPYdb	Arabidopsis_thaliana300108	h-127bSnoR76	sequence	LN809258	
snOPYdb	Arabidopsis_thaliana300109	SnoR77	sequence	LN809379	
snOPYdb	Arabidopsis_thaliana300111	SnoR77Y-1	sequence	LN809380	
snOPYdb	Arabidopsis_thaliana300112	SnoR77Y-2	sequence	LN809381	
snOPYdb	Arabidopsis_thaliana300113	SnoR78-1	sequence	LN809382	
snOPYdb	Arabidopsis_thaliana300114	SnoR78-2	sequence	LN809383	
snOPYdb	Arabidopsis_thaliana300115	SnoR79	sequence	LN809384	
snOPYdb	Arabidopsis_thaliana300116	SnoR8a	sequence	LN809402	
snOPYdb	Arabidopsis_thaliana300117	SnoR8b	sequence	LN809403	
snOPYdb	Arabidopsis_thaliana300118	SnoR80	sequence	LN809387	
snOPYdb	Arabidopsis_thaliana300119	SnoR81	sequence	LN809390	
snOPYdb	Arabidopsis_thaliana300120	SnoR82	sequence	LN809392	
snOPYdb	Arabidopsis_thaliana300121	SnoR83	sequence	LN809393	
snOPYdb	Arabidopsis_thaliana300122	SnoR84	sequence	LN809394	
snOPYdb	Arabidopsis_thaliana300124	SnoR86	sequence	LN809395	
snOPYdb	Arabidopsis_thaliana300125	SnoR87	sequence	LN809397	
snOPYdb	Arabidopsis_thaliana300126	SnoR88-2	sequence	LN809399	
snOPYdb	Arabidopsis_thaliana300127	SnoR88-1	sequence	LN809398	
snOPYdb	Arabidopsis_thaliana300128	SnoR89	sequence	LN809400	
snOPYdb	Arabidopsis_thaliana300129	SnoR9-1	sequence	LN809404	
snOPYdb	Arabidopsis_thaliana300130	SnoR9-2	sequence	LN809405	
snOPYdb	Arabidopsis_thaliana300131	SnoR90	sequence	LN809406	
snOPYdb	Arabidopsis_thaliana300132	SnoR91	sequence	LN809408	
snOPYdb	Arabidopsis_thaliana300133	SnoR92	sequence	LN809409	
snOPYdb	Arabidopsis_thaliana300134	SnoR93	sequence	LN809410	
snOPYdb	Arabidopsis_thaliana300135	SnoR94	sequence	LN809411	
