ID	LncRNA name	Species	Biological processes	Cellular component	Molecular fucntions	Clinical applications	Disease	Disease category	drug Resistance/chemoresistance/stress	Mutation	Methods	Sample	Organoid	Expression pattern	Function type	Interaction target	Mode of interaction	Expression pattern of Interaction target	Level of interaction	Type of interaction	Detailed Pathway	PMID	Year	Description of disease/function/interaction
EL3692	MALAT1	Homo sapiens	Disease-relevant functions		Gene regulation	Disease diagnosis	gallbladder cancer	Cancer			Microarray, knockdown	in GBC tissues and cell lines.		up-regulated	interaction	ABI3BP	Regulate		lncRNA-DNA	regulation	MALAT1 down-regulates ABI3BP through EZH2 silencing of H3K27 methylation	31174563	2019	Long noncoding RNA MALAT1 potentiates growth and inhibits senescence by antagonizing ABI3BP in gallbladder cancer cells.
EL3692	MALAT1	Homo sapiens	Apoptosis		Transcription regulation	Disease treatment	endometriosis	Others			knockdown, Western blot	endometriosis cell lines		up-regulated	interaction	AMPK	Regulate	down-regulated	lncRNA-mRNA	regulation	MALAT1 represses AMPK	33235630	2021	Therefore, MALAT1 may regulate GC proliferation via AMPK-mTOR-mediated cell apoptosis and autophagy.
