HG780872	Carso_ruddi_HteHT
HG783152	Acine_bauma_AYE
HG783153	Acine_bauma_AYE
HG783154	Acine_bauma_AYE
HG783155	Acine_bauma_AYE
HG783156	Acine_bauma_AYE
HG783157	Acine_bauma_AYE
HG783158	Acine_bauma_AYE
HG783159	Acine_bauma_AYE
HG783160	Acine_bauma_AYE
HG783161	Acine_bauma_AYE
HG783162	Acine_bauma_AYE
HG783163	Acine_bauma_AYE
HG783164	Acine_bauma_AYE
HG783165	Acine_bauma_AYE
HG783166	Acine_bauma_AYE
HG783167	Acine_bauma_AYE
HG783168	Acine_bauma_AYE
HG783169	Acine_bauma_AYE
HG783170	Acine_bauma_AYE
HG783171	Acine_bauma_AYE
HG783172	Acine_bauma_AYE
HG783173	Acine_bauma_AYE
HG783174	Acine_bauma_AYE
HG783175	Acine_bauma_AYE
HG783176	Acine_bauma_AYE
HG783177	Acine_bauma_AYE
HG783178	Acine_bauma_AYE
HG783179	Acine_bauma_AYE
HG783180	Acine_bauma_AYE
HG783181	Acine_bauma_AYE
HG783182	Acine_bauma_AYE
HG783183	Acine_bauma_AYE
HG783184	Acine_bauma_AYE
HG783185	Acine_bauma_AYE
HG783186	Acine_bauma_AYE
HG783187	Acine_bauma_AYE
HG783188	Acine_bauma_AYE
HG783189	Acine_bauma_AYE
HG783190	Acine_bauma_AYE
HG783191	Acine_bauma_AYE
HG783192	Acine_bauma_AYE
HG783193	Acine_bauma_AYE
HG783194	Acine_bauma_AYE
HG783195	Acine_bauma_AYE
HG783196	Acine_bauma_AYE
HG783197	Acine_bauma_AYE
HG783198	Acine_bauma_AYE
HG783199	Acine_bauma_AYE
HG783200	Acine_bauma_AYE
HG783201	Acine_bauma_AYE
HG783202	Acine_bauma_AYE
HG783203	Acine_bauma_AYE
HG783204	Acine_bauma_AYE
HG783205	Acine_bauma_AYE
HG783206	Acine_bauma_AYE
HG783207	Acine_bauma_AYE
HG783208	Acine_bauma_AYE
HG783209	Acine_bauma_AYE
HG783210	Acine_bauma_AYE
HG783211	Acine_bauma_AYE
HG783212	Acine_bauma_AYE
HG783213	Acine_bauma_AYE
HG783214	Acine_bauma_AYE
HG783215	Acine_bauma_AYE
HG783216	Acine_bauma_AYE
HG783217	Acine_bauma_AYE
HG783218	Acine_bauma_AYE
HG783219	Acine_bauma_AYE
HG783220	Acine_bauma_AYE
HG783221	Acine_bauma_AYE
HG783222	Acine_bauma_AYE
HG783223	Acine_bauma_AYE
HG783224	Acine_bauma_AYE
HG783225	Acine_bauma_AYE
HG783226	Acine_bauma_AYE
HG783227	Acine_bauma_AYE
HG783228	Acine_bauma_AYE
HG783229	Acine_bauma_AYE
HG783230	Acine_bauma_AYE
HG783231	Acine_bauma_AYE
HG783232	Acine_bauma_AYE
HG783233	Acine_bauma_AYE
HG783234	Acine_bauma_AYE
HG783235	Acine_bauma_AYE
HG783236	Acine_bauma_AYE
HG783237	Acine_bauma_AYE
HG783238	Acine_bauma_AYE
HG783239	Acine_bauma_AYE
HG783240	Acine_bauma_AYE
HG783241	Acine_bauma_AYE
HG783242	Acine_bauma_AYE
HG783243	Acine_bauma_AYE
HG783244	Acine_bauma_AYE
HG783245	Acine_bauma_AYE
HG783246	Acine_bauma_AYE
HG783247	Acine_bauma_AYE
HG783248	Acine_bauma_AYE
HG783249	Acine_bauma_AYE
HG783250	Acine_bauma_AYE
HG783251	Acine_bauma_AYE
HG783252	Acine_bauma_AYE
HG783253	Acine_bauma_AYE
HG783254	Acine_bauma_AYE
HG783255	Acine_bauma_AYE
HG783256	Acine_bauma_AYE
HG783257	Acine_bauma_AYE
HG783258	Acine_bauma_AYE
HG783259	Acine_bauma_AYE
HG783260	Acine_bauma_AYE
HG783261	Acine_bauma_AYE
HG783262	Acine_bauma_AYE
HG783263	Acine_bauma_17978
HG783264	Acine_bauma_17978
HG783265	Acine_bauma_17978
HG783266	Acine_bauma_17978
HG783267	Acine_bauma_17978
HG783268	Acine_bauma_17978
HG783269	Acine_bauma_17978
HG783270	Acine_bauma_17978
HG783271	Acine_bauma_17978
HG783272	Acine_bauma_17978
HG783273	Acine_bauma_17978
HG783274	Acine_bauma_17978
HG783275	Acine_bauma_17978
HG783276	Acine_bauma_17978
HG783277	Acine_bauma_17978
HG783278	Acine_bauma_17978
HG783279	Acine_sp_SH024
HG783280	Acine_sp_SH024
HG783281	Acine_sp_SH024
HG783282	Acine_sp_SH024
HG783283	Acine_sp_SH024
HG783284	Acine_sp_SH024
HG783285	Acine_sp_SH024
HG783286	Acine_sp_SH024
HG783287	Acine_sp_SH024
HG783288	Acine_sp_SH024
HG783289	Acine_sp_SH024
HG783290	Acine_sp_SH024
HG783291	Acine_bauma_SDF
HG783292	Acine_oleiv_DR1
HG783293	Acine_oleiv_DR1
HG783294	Acine_oleiv_DR1
HG783295	Acine_oleiv_DR1
HG783296	Acine_sp_ADP1
HG783297	Acine_sp_ADP1
HG783298	Acine_sp_ADP1
HG783299	Acine_sp_ADP1
HG783300	Trepo_denti_35405
HG783301	Trepo_denti_35405
HG783302	Trepo_denti_35405
HG783303	Trepo_denti_35405
HG783304	Trepo_denti_35405
HG783305	Trepo_denti_35405
HG783306	Trepo_denti_35405
HG783307	Trepo_denti_35405
HG783308	Lacto_plant_JDM1
HG783309	Lacto_plant_JDM1
HG783310	Lacto_plant_JDM1
HG783311	Lacto_plant_JDM1
HG783312	Lacto_plant_JDM1
HG783313	Lacto_plant_WCFS1
HG783314	Morax_catar_BBH18
HG783315	Psych_arcti_2734
HG783316	Psych_cryoh_K5
HG783317	Psych_sp_PRwf1
HG783318	Lacto_saliv_11741
HG783319	Lacto_saliv_11741
HG783320	Lacto_saliv_11741
HG783321	Lacto_saliv_11741
HG783322	Lacto_saliv_11741
HG783323	Lacto_saliv_UCC118
HG783324	Lacto_rumin_27782
HG783325	Lacto_reute_20016
HG783326	Lacto_reute_20016
HG783327	Lacto_reute_20016
HG783328	Lacto_reute_20016
HG783329	Lacto_reute_20016
HG783330	Lacto_reute_CF483A
HG783331	Lacto_reute_CF483A
HG783332	Lacto_reute_CF483A
HG783333	Borre_turic_91E135
HG783334	Borre_herms_HS1
HG783335	Borre_garin_BgVir
HG783336	Borre_garin_BgVir
HG783337	Borre_bisse_DN127
HG783338	Borre_afzel_PKo
HG783339	Borre_afzel_PKo
HG783340	Borre_afzel_PKo
HG783341	Borre_afzel_HLJ01
HG783342	Borre_garin_PBi
HG783343	Borre_burgd_N40
HG783344	Borre_burgd_B31
HG783345	Borre_burgd_B31
HG783346	Borre_burgd_B31
HG783347	Borre_burgd_B31
HG783348	Borre_burgd_B31
HG783349	Borre_burgd_B31
HG783350	Borre_burgd_B31
HG783351	Borre_burgd_B31
HG783352	Borre_burgd_B31
HG783353	Aster_yello_witphy
HG783354	Onion_yello_phyOYM
HG783355	Lacto_delbr_2038
HG783356	Lacto_delbr_BAA365
HG783357	Lacto_delbr_BAA365
HG783358	Lacto_delbr_BAA365
HG783359	Lacto_delbr_ND02
HG783360	Lacto_acido_NCFM
HG783361	Lacto_acido_NCFM
HG783362	Lacto_acido_NCFM
HG783363	Lacto_acido_NCFM
HG783364	Lacto_acido_NCFM
HG783365	Lacto_acido_NCFM
HG783366	Lacto_acido_NCFM
HG783367	Lacto_acido_NCFM
HG783368	Lacto_acido_NCFM
HG783369	Lacto_crisp_ST1
HG783370	Lacto_acido_30SC
HG783371	Lacto_acido_30SC
HG783372	Lacto_amylo_GRL111
HG783373	Lacto_johns_NCC533
HG783374	Lacto_johns_NCC533
HG783375	Lacto_johns_NCC533
HG783376	Lacto_johns_NCC533
HG783377	Lacto_johns_DPC602
HG783378	Lacto_gasse_33323
HG783379	Lacto_gasse_33323
HG783380	Lacto_gasse_33323
HG783381	Lacto_gasse_33323
HG783382	Lacto_gasse_33323
HG783383	Lacto_gasse_33323
HG783384	Lacto_gasse_33323
HG783385	Mycop_genit_G37.1
HG783386	Mycop_genit_G37.1
HG783387	Mycop_genit_G37.1
HG783388	Mycop_genit_G37.1
HG783389	Mycop_genit_G37.1
HG783390	Mycop_genit_G37.1
HG783391	Mycop_genit_G37.2
HG783392	Mycop_genit_G37.2
HG783393	Mycop_genit_G37.2
HG783394	Mycop_genit_G37.2
HG783395	Mycop_genit_G37.2
HG783396	Mycop_genit_G37.2
HG783397	Mycop_genit_G37.2
HG783398	Mycop_genit_G37.2
HG783399	Mycop_genit_G37.2
HG783400	Mycop_genit_G37.2
HG783401	Mycop_genit_G37.2
HG783402	Mycop_genit_G37.2
HG783403	Mycop_genit_G37.2
HG783404	Lacto_ferme_14931
HG783405	Lacto_ferme_14931
HG783406	Lacto_ferme_14931
HG783407	Lacto_ferme_14931
HG783408	Lacto_ferme_14931
HG783409	Lacto_ferme_14931
HG783410	Lacto_ferme_14931
HG783411	Lacto_ferme_IFO395
HG783412	Borre_recur_A1
HG783413	Borre_dutto_Ly
HG783414	Borre_croci_Achema
HG783415	Phyto_mali_AT
HG783416	Lacto_kefir_ZW3
HG783417	Lacto_helve_CNRZ22
HG783418	Lacto_helve_CNRZ22
HG783419	Lacto_helve_CNRZ22
HG783420	Lacto_helve_CNRZ22
HG783421	Lacto_helve_CNRZ22
HG783422	Lacto_helve_CNRZ22
HG783423	Lacto_helve_H10
HG783424	Lacto_helve_R0052
HG783425	Odori_splan_220712
HG783426	Odori_splan_220712
HG783427	Odori_splan_220712
HG783428	Clost_sacch_WM1
HG783429	Trich_eryth_IMS101
HG783430	Caten_acidi_44928
HG783431	Alcan_diese_B5
HG783432	Coryn_ureal_7109
HG783433	Coryn_ureal_7109
HG783434	Methy_flage_KT
HG783435	Methy_gluco_SIP34
HG783436	Methy_gluco_SIP34
HG783437	Thiom_inter_K12
HG783438	Thiom_sp_3As
HG783439	Muric_ruest_13258
HG783440	Leadb_bysso_17132
HG783441	Alcan_borku_SK2
HG783442	Alcan_borku_SK2
HG783443	Alcan_borku_SK2
HG783444	Alcan_borku_SK2
HG783445	Alcan_borku_SK2
HG783446	Alcan_borku_SK2
HG783447	Alcan_borku_SK2
HG783448	Alcan_borku_SK2
HG783449	Thiob_denit_25259
HG783450	Azoar_sp_BH72
HG783451	Lepto_cholo_SP6
HG783452	Burkh_rhizo_HKI454.1
HG783453	Burkh_rhizo_HKI454.2
HG783454	Methy_petro_PM1
HG783455	Cupri_taiwa_LMG194.1
HG783456	Cupri_metal_CH34
HG783457	Cupri_metal_CH34
HG783458	Cupri_metal_CH34
HG783459	Ralst_eutro_H16
HG783460	Ralst_eutro_H16
HG783461	Ralst_eutro_H16
HG783462	Ralst_eutro_H16
HG783463	Ralst_eutro_H16
HG783464	Ralst_eutro_H16
HG783465	Cupri_necat_N1
HG783466	Ralst_picke_12J
HG783467	Ralst_picke_12J
HG783468	Ralst_picke_12J
HG783469	Ralst_picke_12J
HG783470	Ralst_picke_12D
HG783471	Ralst_picke_12D
HG783472	Ralst_picke_12D
HG783473	Ralst_picke_12D
HG783474	Ralst_picke_12D
HG783475	Ralst_solan_PSI07
HG783476	Ralst_solan_GMI100
HG783477	Ralst_solan_GMI100
HG783478	Ralst_solan_GMI100
HG783479	Ralst_solan_GMI100
HG783480	Ralst_solan_GMI100
HG783481	Ralst_solan_GMI100
HG783482	Ralst_solan_CFBP29
HG783483	Ralst_solan_UW551
HG783484	Ralst_solan_UW551
HG783485	Ralst_solan_UW551
HG783486	Ralst_solan_UW551
HG783487	Ralst_eutro_JMP134.1
HG783488	Phyci_mikur_NBR102
HG783489	Robig_bifor_HTCC25
HG783490	Marib_sp_HTCC21
HG783491	Zobel_galac
HG783492	Lacin_sp_5H374
HG783493	Cellu_lytic_7489
HG783494	Aequo_subli_14238
HG783495	Herba_serop_SmR1.1
HG783496	Herba_serop_SmR1.1
HG783497	Herba_serop_SmR1.1
HG783498	Herba_serop_SmR1.1
HG783499	Herba_serop_SmR1.1
HG783500	Herba_serop_SmR1.1
HG783501	Herba_serop_SmR1.1
HG783502	Psmon_putid_S16
HG783503	Psmon_putid_S16
HG783504	Borde_bronc_253
HG783505	Borde_bronc_RB50
HG783506	Borde_bronc_RB50
HG783507	Borde_bronc_RB50
HG783508	Borde_bronc_RB50
HG783509	Borde_bronc_RB50
HG783510	Borde_bronc_RB50
HG783511	Borde_bronc_RB50
HG783512	Borde_bronc_RB50
HG783513	Borde_bronc_RB50
HG783514	Borde_bronc_RB50
HG783515	Borde_bronc_RB50
HG783516	Borde_bronc_RB50
HG783517	Borde_bronc_RB50
HG783518	Borde_bronc_RB50
HG783519	Borde_bronc_RB50
HG783520	Borde_bronc_RB50
HG783521	Borde_bronc_RB50
HG783522	Borde_bronc_RB50
HG783523	Borde_bronc_RB50
HG783524	Borde_avium_197N
HG783525	Borde_petri
HG783526	Achro_xylos_A8
HG783527	Alcal_visco_S2
HG783528	Alcal_visco_S2
HG783529	Brach_faeci_4810
HG783530	Jones_denit_20603
HG783531	Micro_luteu_2665
HG783532	Micro_luteu_2665
HG783533	Micro_luteu_2665
HG783534	Micro_luteu_2665
HG783535	Micro_luteu_2665
HG783536	Micro_luteu_2665
HG783537	Micro_luteu_2665
HG783538	Micro_luteu_2665
HG783539	Micro_luteu_2665
HG783540	Micro_luteu_2665
HG783541	Micro_luteu_2665
HG783542	Micro_luteu_2665
HG783543	Micro_luteu_2665
HG783544	Micro_luteu_2665
HG783545	Micro_luteu_2665
HG783546	Micro_luteu_2665
HG783547	Micro_luteu_2665
HG783548	Micro_luteu_2665
HG783549	Micro_luteu_2665
HG783550	Micro_luteu_2665
HG783551	Micro_luteu_2665
HG783552	Micro_luteu_2665
HG783553	Micro_luteu_2665
HG783554	Micro_luteu_2665
HG783555	Micro_luteu_2665
HG783556	Stack_nassa_44728
HG783557	Tsuka_pauro_20162
HG783558	Psmon_aerug
HG783559	Psmon_aerug
HG783560	Psmon_aerug
HG783561	Psmon_aerug
HG783562	Psmon_aerug
HG783563	Psmon_aerug
HG783564	Psmon_aerug
HG783565	Psmon_aerug
HG783566	Psmon_aerug
HG783567	Psmon_aerug
HG783568	Psmon_aerug
HG783569	Psmon_aerug
HG783570	Psmon_aerug
HG783571	Psmon_aerug
HG783572	Psmon_aerug
HG783573	Psmon_aerug
HG783574	Psmon_aerug
HG783575	Psmon_aerug
HG783576	Psmon_aerug
HG783577	Psmon_aerug
HG783578	Psmon_aerug
HG783579	Psmon_aerug
HG783580	Psmon_aerug
HG783581	Psmon_aerug
HG783582	Psmon_aerug
HG783583	Psmon_aerug
HG783584	Psmon_aerug
HG783585	Psmon_aerug
HG783586	Psmon_aerug
HG783587	Psmon_aerug
HG783588	Psmon_aerug
HG783589	Psmon_aerug
HG783590	Psmon_aerug
HG783591	Psmon_aerug
HG783592	Psmon_aerug
HG783593	Psmon_aerug
HG783594	Psmon_aerug
HG783595	Psmon_aerug
HG783596	Psmon_aerug
HG783597	Psmon_aerug
HG783598	Psmon_aerug
HG783599	Psmon_aerug
HG783600	Psmon_aerug
HG783601	Psmon_aerug
HG783602	Psmon_aerug
HG783603	Psmon_aerug
HG783604	Psmon_aerug
HG783605	Psmon_aerug
HG783606	Psmon_aerug
HG783607	Psmon_aerug
HG783608	Psmon_aerug
HG783609	Psmon_aerug
HG783610	Psmon_aerug
HG783611	Psmon_aerug
HG783612	Psmon_aerug
HG783613	Psmon_aerug
HG783614	Psmon_aerug
HG783615	Psmon_aerug
HG783616	Psmon_aerug
HG783617	Psmon_aerug
HG783618	Psmon_aerug
HG783619	Psmon_aerug
HG783620	Psmon_aerug
HG783621	Psmon_aerug
HG783622	Psmon_aerug
HG783623	Psmon_aerug
HG783624	Psmon_aerug
HG783625	Psmon_aerug
HG783626	Psmon_aerug
HG783627	Psmon_aerug
HG783628	Psmon_aerug
HG783629	Psmon_aerug
HG783630	Psmon_aerug
HG783631	Psmon_aerug
HG783632	Psmon_stutz_CCU292
HG783633	Psmon_stutz_CCU292
HG783634	Psmon_stutz_10701
HG783635	Psmon_mendo_ymp
HG783636	Psmon_mendo_ymp
HG783637	Psmon_stutz_4166
HG783638	Psmon_stutz_4166
HG783639	Psmon_stutz_4166
HG783640	Psmon_aerug_PA7
HG783641	Psmon_aerug_PA7
HG783642	Azoto_vinel_DJ
HG783643	Azoto_vinel_DJ
HG783644	Azoto_vinel_DJ
HG783645	Psmon_putid_F1
HG783646	Psmon_putid_F1
HG783647	Psmon_putid_F1
HG783648	Psmon_putid_F1
HG783649	Psmon_putid_F1
HG783650	Psmon_putid_ND6
HG783651	Psmon_putid_ND6
HG783652	Psmon_entom_L48
HG783653	Psmon_putid_W619
HG783654	Psmon_putid
HG783655	Psmon_putid
HG783656	Psmon_putid_KT2440
HG783657	Psmon_putid_KT2440
HG783658	Psmon_putid_KT2440
HG783659	Psmon_putid_KT2440
HG783660	Psmon_putid_KT2440
HG783661	Psmon_putid_GB1
HG783662	Psmon_mendo_NK01
HG783663	Psmon_stutz_A1501
HG783664	Psmon_stutz_A1501
HG783665	Psmon_fulva_12X
HG783666	Psmon_fulva_12X
HG783667	Simid_agari_21679
HG783668	Simid_agari_21679
HG783669	Bifid_anima_HN019
HG783670	Bifid_anima_HN019
HG783671	Bifid_anima_HN019
HG783672	Bifid_anima_HN019
HG783673	Bifid_anima_HN019
HG783674	Bifid_anima_HN019
HG783675	Bifid_anima_HN019
HG783676	Bifid_anima_HN019
HG783677	Bifid_anima_HN019
HG783678	Bifid_anima_HN019
HG783679	Bifid_anima_HN019
HG783680	Bifid_anima_HN019
HG783681	Bifid_anima_HN019
HG783682	Bifid_anima_25527
HG783683	Psmon_syrin_DC3000
HG783684	Psmon_syrin_DC3000
HG783685	Psmon_syrin_DC3000
HG783686	Psmon_syrin_DC3000
HG783687	Psmon_syrin_DC3000
HG783688	Psmon_syrin_DC3000
HG783689	Psmon_syrin_DC3000
HG783690	Psmon_syrin_DC3000
HG783691	Psmon_syrin_DC3000
HG783692	Psmon_syrin_DC3000
HG783693	Psmon_syrin_DC3000
HG783694	Psmon_syrin_DC3000
HG783695	Psmon_syrin_DC3000
HG783696	Psmon_syrin_DC3000
HG783697	Psmon_syrin_DC3000
HG783698	Psmon_syrin_DC3000
HG783699	Psmon_syrin_DC3000
HG783700	Psmon_syrin_DC3000
HG783701	Psmon_syrin_DC3000
HG783702	Psmon_syrin_DC3000
HG783703	Psmon_syrin_DC3000
HG783704	Psmon_syrin_DC3000
HG783705	Psmon_syrin_DC3000
HG783706	Psmon_syrin_DC3000
HG783707	Psmon_syrin_DC3000
HG783708	Psmon_syrin_DC3000
HG783709	Psmon_syrin_DC3000
HG783710	Psmon_syrin_DC3000
HG783711	Psmon_syrin_DC3000
HG783712	Psmon_syrin_DC3000
HG783713	Psmon_syrin_DC3000
HG783714	Psmon_syrin_DC3000
HG783715	Psmon_syrin_DC3000
HG783716	Psmon_syrin_DC3000
HG783717	Psmon_syrin_DC3000
HG783718	Psmon_syrin_DC3000
HG783719	Psmon_syrin_DC3000
HG783720	Psmon_syrin_DC3000
HG783721	Psmon_syrin_DC3000
HG783722	Psmon_syrin_DC3000
HG783723	Psmon_syrin_DC3000
HG783724	Psmon_syrin_DC3000
HG783725	Psmon_syrin_DC3000
HG783726	Psmon_syrin_DC3000
HG783727	Psmon_syrin_1448A
HG783728	Psmon_syrin_1448A
HG783729	Psmon_syrin_1448A
HG783730	Psmon_syrin_1448A
HG783731	Psmon_syrin_1448A
HG783732	Psmon_syrin_1448A
HG783733	Psmon_syrin_1448A
HG783734	Psmon_syrin_1448A
HG783735	Psmon_syrin_1448A
HG783736	Psmon_syrin_1448A
HG783737	Psmon_syrin_1448A
HG783738	Psmon_syrin_1448A
HG783739	Psmon_syrin_1448A
HG783740	Psmon_syrin_1448A
HG783741	Psmon_syrin_1448A
HG783742	Psmon_syrin_1448A
HG783743	Psmon_syrin_1448A
HG783744	Psmon_syrin_1448A
HG783745	Psmon_syrin_B728a
HG783746	Psmon_syrin_B728a
HG783747	Psmon_syrin_B728a
HG783748	Psmon_syrin_B728a
HG783749	Psmon_syrin_B728a
HG783750	Psmon_syrin_B728a
HG783751	Psmon_syrin_B728a
HG783752	Psmon_syrin_B728a
HG783753	Psmon_syrin_B728a
HG783754	Psmon_syrin_B728a
HG783755	Psmon_syrin_B728a
HG783756	Psmon_syrin_B728a
HG783757	Psmon_syrin_B728a
HG783758	Psmon_syrin_B728a
HG783759	Psmon_syrin_B728a
HG783760	Psmon_syrin_B728a
HG783761	Psmon_syrin_B728a
HG783762	Psmon_syrin_B728a
HG783763	Psmon_syrin_B728a
HG783764	Cellv_japon_Ueda10
HG783765	Coryn_kropp_44385
HG783766	Croco_watso_WH850
HG783767	cyano_UCYNA
HG783768	Cyano_sp_51142
HG783769	Cyano_sp_51142
HG783770	Synec_sp_7002
HG783771	Mycob_phage_DS6A
HG783772	Mycob_phage_DS6A
HG783773	Mycob_phage_DS6A
HG783774	Mycob_phage_DS6A
HG783775	Mycob_phage_DS6A
HG783776	Mycob_phage_DS6A
HG783777	Synec_sp_6803
HG783778	Synec_sp_6803
HG783779	Synec_sp_6803
HG783780	Synec_sp_6803
HG783781	Synec_sp_6803
HG783782	Synec_sp_6803
HG783783	Synec_sp_6803
HG783784	Runel_slith_19594
HG783785	Desul_bacul_4028
HG783786	Cellu_algic_14237
HG783787	Micro_aerug_NIES84
HG783788	Micro_aerug_NIES84
HG783789	Micro_aerug_NIES84
HG783790	Cyano_sp_7424
HG783791	Cyano_sp_8801
HG783792	Cyano_sp_8801
HG783793	Cyano_sp_7822
HG783794	Oscil_acumi_6304
HG783795	Oscil_acumi_6304
HG783796	Strep_therm_LMD9
HG783797	Strep_therm_LMD9
HG783798	Lacto_sakei_23K
HG783799	Lacto_sakei_23K
HG783800	Lacto_sakei_23K
HG783801	Lacto_brevi_367
HG783802	Lacto_brevi_367
HG783803	Psmon_fluor_SBW25
HG783804	Psmon_fluor_SBW25
HG783805	Psmon_fluor_SBW25
HG783806	Psmon_fluor_SBW25
HG783807	Psmon_fluor_SBW25
HG783808	Psmon_fluor_SBW25
HG783809	Psmon_fluor_SBW25
HG783810	Psmon_fluor_SBW25
HG783811	Psmon_fluor_SBW25
HG783812	Psmon_fluor_SBW25
HG783813	Psmon_fluor_SBW25
HG783814	Psmon_fluor_SBW25
HG783815	Psmon_fluor_SBW25
HG783816	Psmon_fluor_SBW25
HG783817	Psmon_fluor_SBW25
HG783818	Psmon_fluor_SBW25
HG783819	Psmon_fluor_SBW25
HG783820	Psmon_fluor_SBW25
HG783821	Psmon_fluor_Pf01
HG783822	Psmon_fluor_Pf01
HG783823	Psmon_fluor_Pf01
HG783824	Psmon_chlor_3084
HG783825	Psmon_chlor_3084
HG783826	Psmon_chlor_3084
HG783827	Psmon_chlor_3084
HG783828	Psmon_chlor_3084
HG783829	Psmon_chlor_3084
HG783830	Psmon_chlor_3084
HG783831	Psmon_prote_Pf5
HG783832	Psmon_prote_Pf5
HG783833	Psmon_prote_Pf5
HG783834	Psmon_prote_Pf5
HG783835	Psmon_prote_Pf5
HG783836	Psmon_brass_NFM421
HG783837	Psmon_brass_NFM421
HG783838	Psmon_brass_NFM421
HG783839	Psmon_brass_NFM421
HG783840	Psmon_fluor_F113
HG783841	Achol_laidl_PG8A
HG783842	Pedob_hepar_2366
HG783843	Pedob_hepar_2366
HG783844	Leuco_carno_JB16
HG783845	Colwe_psych_34H
HG783846	Therm_elong_BP1
HG783847	Cyani_calda
HG783848	Mycob_intra
HG783849	Mycob_intra
HG783850	Mycob_intra
HG783851	Mycob_intra
HG783852	Mycob_intra
HG783853	Mycob_intra
HG783854	Mycob_intra
HG783855	Mycob_intra
HG783856	Mycob_intra
HG783857	Mycob_intra_MOTT64
HG783858	Mycob_indic_praMTC
HG783859	Mycob_avium_K10
HG783860	Mycob_avium_K10
HG783861	Mycob_avium_K10
HG783862	Mycob_avium_K10
HG783863	Mycob_avium_K10
HG783864	Mycob_avium_K10
HG783865	Mycob_avium_K10
HG783866	Mycob_avium_K10
HG783867	Mycob_avium_K10
HG783868	Mycob_avium_K10
HG783869	Mycob_avium_K10
HG783870	Mycob_avium_K10
HG783871	Mycob_avium_K10
HG783872	Mycob_avium_K10
HG783873	Mycob_avium_K10
HG783874	Mycob_avium_K10
HG783875	Mycob_avium_K10
HG783876	Mycob_avium_K10
HG783877	Mycob_avium_K10
HG783878	Mycob_avium_K10
HG783879	Mycob_avium_K10
HG783880	Mycob_avium_K10
HG783881	Mycob_avium_K10
HG783882	Mycob_avium_silvat
HG783883	Mycob_avium_104
HG783884	Mycob_lepra_TN
HG783885	Mycob_lepra_TN
HG783886	Mycob_lepra_TN
HG783887	Mycob_sp_JDM601
HG783888	Helic_felis_49179
HG783889	Helic_felis_49179
HG783890	Mycob_absce
HG783891	Mycob_absce
HG783892	Mycob_absce
HG783893	Mycob_absce
HG783894	Mycob_absce
HG783895	Mycob_absce
HG783896	Mycob_absce
HG783897	Mycob_absce
HG783898	Mycob_absce
HG783899	Mycob_absce
HG783900	Mycob_absce
HG783901	Mycob_absce
HG783902	Mycob_absce
HG783903	Mycob_absce
HG783904	Mycob_absce
HG783905	Mycob_absce
HG783906	Mycob_absce
HG783907	Mycob_absce
HG783908	Mycob_absce
HG783909	Mycob_absce
HG783910	Mycob_absce
HG783911	Mycob_absce
HG783912	Mycob_absce
HG783913	Mycob_absce
HG783914	Mycob_absce
HG783915	Mycob_absce
HG783916	Mycob_absce
HG783917	Mycob_absce
HG783918	Mycob_absce
HG783919	Mycob_absce
HG783920	Mycob_absce
HG783921	Mycob_absce
HG783922	Mycob_absce
HG783923	Mycob_absce
HG783924	Mycob_absce
HG783925	Mycob_absce
HG783926	Mycob_absce
HG783927	Mycob_absce
HG783928	Mycob_absce
HG783929	Nocar_brasi_700358
HG783930	Rhodo_equi
HG783931	Rhodo_equi
HG783932	Rhodo_equi
HG783933	Gordo_rubri
HG783934	Gordo_rubri
HG783935	Rhodo_josti_RHA1
HG783936	Rhodo_josti_RHA1
HG783937	Rhodo_josti_RHA1
HG783938	Rhodo_opacu_B4
HG783939	Rhodo_equi_103S
HG783940	Rhodo_equi_103S
HG783941	Rhodo_equi_103S
HG783942	Nocar_farci_IFM101
HG783943	Nocar_cyria_GUH2
HG783944	Rhodo_eryth_PR4
HG783945	Rhodo_eryth_PR4
HG783946	Mycob_smegm_MC2155
HG783947	Mycob_smegm_MC2155
HG783948	Mycob_smegm_MC2155
HG783949	Mycob_smegm_MC2155
HG783950	Mycob_smegm_MC2155
HG783951	Mycob_smegm_MC2155
HG783952	Mycob_smegm_MC2155
HG783953	Mycob_gilvu_44503
HG783954	Mycob_gilvu_44503
HG783955	Mycob_gilvu_PYRGCK
HG783956	Mycob_austr_CIP105
HG783957	Mycob_austr_CIP105
HG783958	Mycob_austr_CIP105
HG783959	Mycob_marin_M
HG783960	Mycob_marin_M
HG783961	Mycob_marin_M
HG783962	Mycob_marin_M
HG783963	Mycob_marin_M
HG783964	Mycob_marin_M
HG783965	Mycob_marin_M
HG783966	Mycob_sp_MCS
HG783967	Mycob_sp_MCS
HG783968	Mycob_sp_MCS
HG783969	Mycob_sp_MCS
HG783970	Mycob_chubu_NBB4
HG783971	Mycob_tuber_RGTB42
HG783972	Mycob_tuber_210
HG783973	Mycob_tuber_H37Rv
HG783974	Mycob_tuber_H37Rv
HG783975	Mycob_tuber_H37Rv
HG783976	Mycob_tuber_H37Rv
HG783977	Mycob_tuber_H37Rv
HG783978	Mycob_tuber_H37Rv
HG783979	Mycob_tuber_H37Rv
HG783980	Mycob_tuber_H37Rv
HG783981	Mycob_tuber_H37Rv
HG783982	Mycob_tuber_H37Rv
HG783983	Mycob_tuber_H37Rv
HG783984	Mycob_tuber_H37Rv
HG783985	Mycob_tuber_H37Rv
HG783986	Mycob_tuber_H37Rv
