HG780872	Carso_ruddi_HteHT
HG781063	Lepto_inter_Lai566
HG781064	Lepto_inter_Lai566
HG781065	Lepto_inter_Lai566
HG781066	Lepto_inter_Lai566
HG781067	Lepto_inter_Lai566
HG781068	Lepto_inter_Lai566
HG781069	Lepto_inter_Lai566
HG781070	Lepto_inter_Lai566
HG781071	Lepto_inter_Lai566
HG781072	Lepto_inter_Lai566
HG781073	Lepto_inter_Lai566
HG781074	Lepto_inter_Lai566
HG781075	Lepto_inter_Lai566
HG781076	Lepto_inter_Lai566
HG781077	Lepto_inter_Lai566
HG781078	Lepto_inter_Lai566
HG781079	Lepto_inter_Lai566
HG781080	Lepto_inter_Lai566
HG781081	Lepto_inter_Lai566
HG781082	Lepto_inter_Lai566
HG781083	Lepto_inter_Lai566
HG781084	Lepto_inter_Lai566
HG781085	Lepto_inter_Lai566
HG781086	Lepto_inter_Lai566
HG781087	Lepto_inter_Lai566
HG781088	Lepto_inter_Lai566
HG781089	Lepto_inter_Lai566
HG781090	Lepto_inter_Lai566
HG781091	Lepto_inter_Lai566
HG781092	Lepto_inter_Lai566
HG781093	Lepto_inter_Lai566
HG781094	Lepto_inter_Lai566
HG781095	Lepto_inter_Lai566
HG781096	Lepto_inter_Lai566
HG781097	Lepto_inter_Lai566
HG781098	Lepto_inter_Lai566
HG781099	Lepto_inter_Lai566
HG781100	Lepto_inter_Lai566
HG781101	Lepto_inter_Lai566
HG781102	Lepto_inter_Lai566
HG781103	Lepto_inter_Lai566
HG781104	Lepto_inter_Lai566
HG781105	Lepto_inter_Lai566
HG781106	Lepto_inter_Lai566
HG781107	Lepto_inter_Lai566
HG781108	Lepto_inter_Lai566
HG781109	Lepto_inter_Lai566
HG781110	Lepto_inter_Lai566
HG781111	Lepto_inter_Lai566
HG781112	Lepto_inter_Lai566
HG781113	Lepto_inter_Lai566
HG781114	Lepto_inter_Lai566
HG781115	Lepto_inter_Lai566
HG781116	Lepto_inter_Lai566
HG781117	Lepto_inter_Lai566
HG781118	Lepto_inter_Lai566
HG781119	Lepto_inter_Lai566
HG781120	Lepto_inter_Lai566
HG781121	Lepto_inter_Lai566
HG781122	Lepto_inter_Lai566
HG781123	Lepto_inter_Lai566
